종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
015360,예스코홀딩스,KOSPI,,33800,450,1.35,33350,33800,33250,4355,146223100,2.028E+11,6000000
122640,예스티,KOSDAQ,벤처기업부,13890,240,1.76,13880,13960,13110,124183,1698635020,2.64526E+11,19044342
900300,오가닉티코스메틱,KOSDAQ,투자주의환기종목(소속부없음),140,3,2.19,138,141,137,1028391,143242451,34336887340,245263481
045060,오공,KOSDAQ,우량기업부,2960,60,2.07,2905,2965,2900,22886,67230825,50148243040,16941974
080520,오디텍,KOSDAQ,벤처기업부,4410,-10,-0.23,4430,4450,4335,56962,248923465,51802545690,11746609
007310,오뚜기,KOSPI,,384000,-4000,-1.03,388000,390000,380000,10729,4111063500,1.53901E+12,4007830
039830,오로라,KOSDAQ,우량기업부,6770,60,0.89,6750,6780,6670,6133,41326150,72864765300,10762890
322310,오로스테크놀로지,KOSDAQ,벤처기업부,18500,560,3.12,18200,18500,17850,44596,815317640,1.73281E+11,9366542
046120,오르비텍,KOSDAQ,중견기업부,3450,10,0.29,3440,3500,3415,253985,877854525,93387442800,27068824
014940,오리엔탈정공,KOSDAQ,우량기업부,2830,70,2.54,2785,2850,2760,56547,159605400,1.28973E+11,45573661
002630,오리엔트바이오,KOSPI,,609,8,1.33,601,609,598,184019,111187629,72217050045,118583005
065500,오리엔트정공,KOSDAQ,중견기업부,1239,4,0.32,1235,1260,1218,178043,219578956,39329467968,31742912
271560,오리온,KOSPI,,130000,8100,6.64,122400,130000,120400,71757,8827656200,5.1397E+12,39536132
001800,오리온홀딩스,KOSPI,,15820,-230,-1.43,15950,15980,15680,79061,1248349430,9.91051E+11,62645422
010470,오리콤,KOSDAQ,우량기업부,11720,-920,-7.28,12690,12690,11430,251450,2981009920,1.40348E+11,11975050
417860,오브젠,KOSDAQ,기술성장기업부,24300,950,4.07,23350,24650,22950,39525,947787000,94851405000,3903350
352910,오비고,KOSDAQ,기술성장기업부,9230,140,1.54,9260,9260,9010,29434,268729870,1.12293E+11,12166093
053980,오상자이엘,KOSDAQ,우량기업부,5100,105,2.1,4955,5110,4955,26363,133264415,90514198200,17747882
052420,오성첨단소재,KOSDAQ,중견기업부,1491,19,1.29,1478,1508,1462,1087029,1621338879,1.20651E+11,80919262
241790,오션브릿지,KOSDAQ,우량기업부,12230,310,2.6,12050,12250,12010,47733,579248120,1.22332E+11,10002634
039200,오스코텍,KOSDAQ,벤처기업부,21100,1700,8.76,19720,21350,19660,498862,10229687350,8.01462E+11,37983958
